Party
Don't know/ Prefer not to answer
Conservative Party
Green Party
ndp
Conservative Party
Liberal Party
Don't know/ Prefer not to answer
Don't know/ Prefer not to answer
Don't know/ Prefer not to answer
Liberal Party
Liberal Party
Liberal Party
Liberal Party
Conservative Party
Don't know/ Prefer not to answer
Liberal Party
Liberal Party
Don't know/ Prefer not to answer
Liberal Party
Liberal Party
Green Party
Bloc Qu<e9>b<e9>cois
Liberal Party
Green Party
Green Party
Conservative Party
Conservative Party
Green Party
Don't know/ Prefer not to answer
Don't know/ Prefer not to answer
Liberal Party
Conservative Party
Don't know/ Prefer not to answer
Conservative Party
Don't know/ Prefer not to answer
ndp
Green Party
Don't know/ Prefer not to answer
ndp
Liberal Party
Conservative Party
Liberal Party
Conservative Party
Conservative Party
Don't know/ Prefer not to answer
Conservative Party
Conservative Party
Bloc Qu<e9>b<e9>cois
Conservative Party
ndp
Liberal Party
Conservative Party
Liberal Party
Liberal Party
Conservative Party
Conservative Party
Liberal Party
Liberal Party
Liberal Party
Don't know/ Prefer not to answer
Don't know/ Prefer not to answer
Don't know/ Prefer not to answer
Conservative Party
Conservative Party
Don't know/ Prefer not to answer
Conservative Party
Conservative Party
Don't know/ Prefer not to answer
Don't know/ Prefer not to answer
Conservative Party
Conservative Party
Don't know/ Prefer not to answer
ndp
Bloc Qu<e9>b<e9>cois
ndp
Liberal Party
Bloc Qu<e9>b<e9>cois
Don't know/ Prefer not to answer
Green Party
ndp
Liberal Party
Liberal Party
Liberal Party
Liberal Party
Liberal Party
Conservative Party
Liberal Party
Green Party
Liberal Party
Bloc Qu<e9>b<e9>cois
Conservative Party
Conservative Party
Liberal Party
ndp
ndp
ndp
ndp
ndp
Liberal Party
Conservative Party
Liberal Party
Liberal Party
Liberal Party
Liberal Party
Conservative Party
Liberal Party
Conservative Party
ndp
ndp
ndp
Green Party
Don't know/ Prefer not to answer
ndp
Liberal Party
Liberal Party
Conservative Party
Liberal Party
Green Party
Liberal Party
Liberal Party
Green Party
Liberal Party
Conservative Party
Don't know/ Prefer not to answer
ndp
Conservative Party
Conservative Party
Liberal Party
Conservative Party
Conservative Party
Liberal Party
Don't know/ Prefer not to answer
Liberal Party
Bloc Qu<e9>b<e9>cois
Don't know/ Prefer not to answer
Don't know/ Prefer not to answer
Liberal Party
ndp
Liberal Party
Conservative Party
Bloc Qu<e9>b<e9>cois
Conservative Party
ndp
Conservative Party
Conservative Party
Liberal Party
Don't know/ Prefer not to answer
ndp
ndp
Bloc Qu<e9>b<e9>cois
Don't know/ Prefer not to answer
Liberal Party
Liberal Party
Don't know/ Prefer not to answer
Conservative Party
Liberal Party
Conservative Party
Green Party
Conservative Party
Conservative Party
Conservative Party
Don't know/ Prefer not to answer
Conservative Party
Liberal Party
Liberal Party
Don't know/ Prefer not to answer
Conservative Party
Liberal Party
Conservative Party
Liberal Party
Liberal Party
Liberal Party
Liberal Party
Conservative Party
Liberal Party
Liberal Party
Liberal Party
Green Party
Liberal Party
Conservative Party
Liberal Party
Conservative Party
Conservative Party
Conservative Party
Green Party
Green Party
Don't know/ Prefer not to answer
Conservative Party
Liberal Party
Liberal Party
Liberal Party
Don't know/ Prefer not to answer
Liberal Party
Green Party
Green Party
Conservative Party
Liberal Party
Liberal Party
Liberal Party
Conservative Party
ndp
Conservative Party
ndp
Conservative Party
Liberal Party
Liberal Party
ndp
Liberal Party
Don't know/ Prefer not to answer
Liberal Party
Liberal Party
Green Party
Liberal Party
Conservative Party
ndp
Liberal Party
Liberal Party
Liberal Party
Conservative Party
Liberal Party
Liberal Party
Conservative Party
